"","experience","wage_h","logwage_h","school","school_father","school_mother","married","male","d_north","d_centre","d_south","d_partime","d_agri","d_indu","d_pa"
"50561",20,7.83125,2.058122,13,8,5,1,1,1,0,0,1,0,1,0
"50571",24,22.375,3.107944,13,5,5,1,0,1,0,0,0,0,0,0
"50591",44,19.57813,2.974413,8,5,5,1,1,0,0,1,0,0,1,0
"50611",26,14.54375,2.677161,13,5,5,1,1,0,0,1,0,0,1,0
"50621",23,12.11979,2.49484,18,18,8,0,0,0,0,1,0,0,0,1
"50631",29,8.390625,2.127115,5,0,0,1,1,0,0,1,0,0,1,0
"5064",35,18.3475,2.909493,13,5,5,1,0,1,0,0,0,0,0,1
"50651",11,9.056547,2.203488,11,5,5,1,1,1,0,0,0,0,1,0
"5066",7,7.032143,1.950491,8,5,5,1,0,1,0,0,0,0,0,1
"5068",25,7.83125,2.058122,5,0,0,0,1,1,0,0,0,0,1,0
"5070",16,12.86563,2.554559,8,0,0,1,1,1,0,0,0,0,1,0
"5075",25,12.30625,2.510107,13,0,0,1,1,1,0,0,0,0,1,0
"5076",15,9.322917,2.232476,8,0,0,1,0,1,0,0,1,0,1,0
"5077",17,11.69602,2.459249,13,13,13,1,1,1,0,0,0,0,1,0
"50781",7,11.50714,2.442968,18,8,13,1,0,1,0,0,1,0,0,0
"5079",4,7.458333,2.009332,5,8,8,1,0,1,0,0,1,0,1,0
"5082",10,8.390625,2.127115,13,13,13,0,1,1,0,0,0,0,1,0
"50831",2,7.458333,2.009332,16,5,13,0,0,1,0,0,1,0,0,1
"5085",24,11.1875,2.414797,8,5,5,1,1,1,0,0,0,0,0,0
"5086",11,8.390625,2.127115,8,5,5,1,1,1,0,0,0,0,1,0
"50871",20,8.136364,2.096343,8,5,5,1,0,1,0,0,0,0,1,0
"50911",32,7.458333,2.009332,5,5,5,1,1,1,0,0,0,0,1,0
"50931",20,14.17083,2.651186,11,13,8,1,0,1,0,0,1,0,0,1
"5095",30,7.06579,1.955265,5,0,0,1,0,1,0,0,0,0,1,0
"50981",27,14.91667,2.702479,11,5,5,1,1,1,0,0,1,0,0,0
"5101",38,16.78125,2.820262,11,5,5,1,1,1,0,0,0,0,1,0
"51021",32,12.43056,2.520158,13,5,5,1,0,1,0,0,0,0,0,1
"5105",8,5.114286,1.632038,8,0,0,1,0,1,0,0,1,0,0,1
"51061",29,11.1875,2.414797,8,5,5,0,1,1,0,0,0,0,1,0
"51071",24,10.62813,2.363504,8,5,5,0,1,1,0,0,0,0,1,0
"5108",35,9.509375,2.252278,8,5,5,0,1,1,0,0,0,0,1,0
"5110",11,10.59868,2.36073,8,5,5,0,1,1,0,0,0,0,1,0
"51111",18,14.54375,2.677161,13,8,8,1,1,0,1,0,0,0,0,0
"5113",20,10.18062,2.320486,8,5,5,1,0,0,1,0,0,0,1,0
"5114",30,13.425,2.597119,18,13,8,1,1,0,1,0,0,0,0,0
"51151",32,11.635,2.454018,13,5,0,1,0,0,1,0,0,0,0,1
"51171",33,14.22056,2.654688,13,13,8,1,1,0,1,0,0,0,0,0
"5120",28,7.458333,2.009332,5,0,0,1,1,0,0,1,0,0,1,0
"51211",15,7.83125,2.058122,8,0,0,1,1,0,0,1,0,0,1,0
"5122",11,6.544687,1.878654,8,5,5,0,0,0,0,1,0,0,0,0
"51241",17,13.67361,2.615468,13,8,8,1,1,0,0,1,0,0,0,1
"51251",18,11.80903,2.468864,13,18,13,1,0,0,0,1,0,0,0,1
"51261",11,7.271875,1.984014,13,5,0,0,0,0,0,1,0,0,0,0
"51271",13,9.322917,2.232476,13,5,5,0,0,0,0,1,0,0,0,1
"51281",35,15.53819,2.743301,13,5,5,1,0,0,0,1,0,0,0,1
"5129",22,9.944445,2.297014,18,5,0,1,1,0,0,1,0,0,1,0
"51311",17,8.95,2.191653,13,5,13,1,1,0,0,1,0,0,1,0
"51331",7,7.271875,1.984014,8,0,0,1,0,0,0,1,0,0,0,0
"51351",20,6.662777,1.896536,8,0,0,0,1,0,1,0,0,0,1,0
"51371",28,11.1875,2.414797,13,5,5,1,1,0,1,0,0,0,1,0
"51381",20,8.605769,2.152433,13,5,8,1,0,0,1,0,0,0,1,0
"5139",8,8.95,2.191653,18,5,5,1,1,0,1,0,0,0,0,1
"51401",19,11.48191,2.440773,13,13,8,1,1,0,1,0,0,0,1,0
"51411",15,6.209063,1.82601,13,13,5,1,0,0,1,0,0,0,0,1
"51421",25,13.05208,2.568948,13,8,5,1,0,0,1,0,0,0,0,1
"5144",1,5.071667,1.62367,13,5,5,0,0,1,0,0,0,0,0,0
